amr gpu matrix
lbase = 2, best kernel block size: 256
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.056 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.055 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms
block_size = 256, time: 0.054 ms


lbase = 3, best kernel block size: 32
lbase = 3, Same time. Min block: 32, max block: 512
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
